,mes,dia,descripcion
0,Enero,1,Feriado Inamovible
1,Febrero,20,Feriado Inamovible
2,Febrero,21,Feriado Inamovible
3,Marzo,24,Feriado Inamovible
4,Abril,2,Feriado Inamovible
5,Abril,6,Día no laborale
6,Abril,7,Día no laborale
7,Abril,12,Día no laborale
8,Abril,13,Día no laborale
9,Abril,21,Día no laborale
10,Abril,24,Día no laborale
11,Mayo,1,Feriado Inamovible
12,Mayo,25,Feriado Inamovible
13,Mayo,26,Día Turístico
14,Junio,17,Feriado Trasladable
15,Junio,19,Día Turístico
16,Junio,20,Feriado Inamovible
17,Junio,28,Día no laborale
18,Julio,9,Feriado Inamovible
19,Julio,19,Día no laborale
20,Agosto,21,Feriado Trasladable
21,Septiembre,16,Día no laborale
22,Septiembre,17,Día no laborale
23,Septiembre,25,Día no laborale
24,Octubre,13,Día Turístico
25,Octubre,16,Feriado Trasladable
26,Noviembre,20,Feriado Trasladable
27,Diciembre,8,Feriado Inamovible
28,Diciembre,25,Feriado Inamovible
